1800,1800,1800,2000,2000,2000,2200,2200,2200,
02/11/2015,02/11/2015,02/11/2015,02/06/2016,02/06/2016,02/06/2016,02/06/2017,02/06/2017,02/06/2017,
0.636002,0.435486,0.358055,0.326569,0.244888,0.220901,0.141663,0.154037,0.123653,
